,testing 20 nodes,testing 40 nodes,testing 60 nodes,testing 80 nodes,AVG
exploration_prob:0.1,22.0,11.0,9.0,28.0,17.5
exploration_prob:0.2,10.0,36.0,26.0,23.0,23.75
exploration_prob:0.3,27.0,4.0,27.0,15.0,18.25
exploration_prob:0.4,34.0,32.0,24.0,34.0,31.0
exploration_prob:0.5,33.0,16.0,22.0,30.0,25.25
exploration_prob:0.6,6.0,38.0,37.0,36.0,29.25
exploration_prob:0.7,53.0,51.0,57.0,47.0,52.0
exploration_prob:0.8,83.0,70.0,57.0,53.0,65.75
exploration_prob:0.9,58.0,64.0,69.0,70.0,65.25
exploration_prob:1.0,72.0,87.0,88.0,87.0,83.5
